type	latitude	longitude	altitude (m)	name	desc
T	51.014197000	7.394080000	254.6	New file 1	
T	51.014182000	7.394085000	254.7		
T	51.013586000	7.394847000	260.2		
T	51.013364000	7.394347000	258.5		
T	51.013363000	7.394201000	258.0		
T	51.013431000	7.393603000	256.3		
T	51.013508000	7.392964000	255.9		
T	51.013509000	7.392959000	255.9		
T	51.013587000	7.392593000	254.7		
T	51.013589000	7.392588000	254.6		
T	51.013614000	7.392217000	253.9		
T	51.013615000	7.392214000	253.9		
T	51.013622000	7.391501000	250.3		
T	51.013623000	7.391489000	250.3		
T	51.013645000	7.391400000	249.9		
T	51.013683000	7.391328000	249.5		
T	51.013693000	7.391321000	249.5		
T	51.013929000	7.391181000	248.2		
T	51.014030000	7.391106000	248.0		
T	51.014054000	7.391089000	248.0		
T	51.014091000	7.391008000	247.9		
T	51.014092000	7.390999000	247.9		
T	51.014113000	7.390867000	247.8		
T	51.014128000	7.390763000	247.6		
T	51.014129000	7.390763000	247.6		
T	51.014129000	7.390565000	246.9		
T	51.014129000	7.390563000	246.9		
T	51.013957000	7.389624000	246.0		
T	51.013858000	7.388903000	245.9		
T	51.013856000	7.388882000	245.9		
T	51.013851000	7.388810000	245.8		
T	51.013851000	7.388807000	245.8		
T	51.013851000	7.388810000	245.8		
T	51.013691000	7.388810000	245.1		
T	51.013690000	7.388803000	245.1		
T	51.013563000	7.387722000	242.8		
T	51.013503000	7.387369000	242.2		
T	51.013383000	7.386664000	240.5		
T	51.013321000	7.386351000	240.1		
T	51.013095000	7.385212000	239.6		
T	51.013080000	7.385116000	239.4		
T	51.013074000	7.385030000	239.3		
T	51.013037000	7.384435000	238.9		
T	51.013032000	7.384406000	239.0		
T	51.012790000	7.382843000	236.0		
T	51.012740000	7.382487000	236.2		
T	51.012736000	7.382459000	236.2		
T	51.012707000	7.382361000	236.1		
T	51.012681000	7.382256000	236.1		
T	51.012678000	7.382244000	236.1		
T	51.012425000	7.380536000	236.5		
T	51.012410000	7.380429000	236.2		
T	51.012345000	7.379983000	235.8		
T	51.012229000	7.379523000	236.2		
T	51.012022000	7.378640000	235.4		
T	51.011906000	7.378004000	234.2		
T	51.011865000	7.377774000	233.4		
T	51.011792000	7.377510000	232.4		
T	51.011718000	7.377328000	232.8		
T	51.011606000	7.377028000	232.6		
T	51.011235000	7.376032000	231.9		
T	51.011146000	7.375705000	231.5		
T	51.010805000	7.374436000	230.3		
T	51.010675000	7.373793000	229.1		
T	51.010520000	7.372981000	229.3		
T	51.010477000	7.372823000	229.3		
T	51.010231000	7.371907000	228.4		
T	51.010046000	7.371332000	226.9		
T	51.010000000	7.371187000	226.5		
T	51.009850000	7.370871000	226.0		
T	51.009317000	7.369146000	223.2		
T	51.009251000	7.368929000	222.4		
T	51.009191000	7.368849000	222.3		
T	51.009067000	7.368619000	222.2		
T	51.008934000	7.368216000	223.1		
T	51.008897000	7.368101000	223.1		
T	51.008735000	7.367683000	220.8		
T	51.008663000	7.367520000	221.2		
T	51.008609000	7.367443000	221.8		
T	51.008580000	7.367401000	221.4		
T	51.008283000	7.368694000	227.3		
T	51.008181000	7.369080000	227.5		
T	51.007905000	7.370127000	226.0		
T	51.007890000	7.370185000	226.0		
T	51.007653000	7.370741000	226.5		
T	51.007588000	7.370817000	226.2		
T	51.007432000	7.370963000	226.3		
T	51.007246000	7.371094000	227.9		
T	51.006801000	7.371303000	231.8		
T	51.006165000	7.371530000	235.0		
T	51.005480000	7.371913000	237.9		
T	51.005324000	7.372067000	237.8		
T	51.005010000	7.372562000	239.5		
T	51.004857000	7.372841000	240.9		
T	51.004720000	7.373251000	242.3		
T	51.004709000	7.373287000	242.4		
T	51.004571000	7.373596000	242.8		
T	51.004351000	7.373897000	244.6		
T	51.004285000	7.374020000	244.7		
T	51.004230000	7.374149000	244.8		
T	51.004090000	7.374578000	245.2		
T	51.003745000	7.375519000	246.7		
T	51.003663000	7.375713000	247.0		
T	51.003580000	7.375870000	247.2		
T	51.003507000	7.375972000	247.5		
T	51.003318000	7.376177000	248.6		
T	51.003153000	7.376254000	248.6		
T	51.003110000	7.376261000	248.7		
T	51.003002000	7.376278000	249.1		
T	51.002898000	7.376333000	249.4		
T	51.002842000	7.376383000	249.6		
T	51.002794000	7.376445000	249.7		
T	51.002628000	7.376723000	251.0		
T	51.002466000	7.376962000	252.1		
T	51.002095000	7.377270000	253.4		
T	51.001841000	7.377421000	254.0		
T	51.001246000	7.377776000	257.0		
T	51.001244000	7.377778000	257.0		
T	51.001299000	7.377872000	256.0		
T	51.001378000	7.378210000	254.6		
T	51.001478000	7.378475000	256.0		
T	51.001669000	7.378997000	259.8		
T	51.001857000	7.379535000	264.9		
T	51.002501000	7.381225000	277.4		
T	51.002558000	7.381330000	278.0		
T	51.002581000	7.381373000	278.2		
T	51.002746000	7.381449000	279.1		
T	51.003924000	7.381562000	285.2		
T	51.004116000	7.381572000	286.4		
T	51.004396000	7.381615000	288.3		
T	51.004579000	7.381673000	289.0		
T	51.004663000	7.381739000	289.5		
T	51.004691000	7.381761000	289.6		
T	51.004876000	7.382135000	291.5		
T	51.005080000	7.382575000	294.1		
T	51.005221000	7.382847000	295.2		
T	51.005337000	7.383039000	295.9		
T	51.005422000	7.383149000	296.7		
T	51.005737000	7.383542000	298.8		
T	51.005877000	7.383790000	300.8		
T	51.006068000	7.384058000	302.4		
T	51.006161000	7.384102000	302.4		
T	51.006273000	7.384155000	302.4		
T	51.006387000	7.384560000	303.4		
T	51.006420000	7.384788000	304.0		
T	51.006406000	7.385297000	304.9		
T	51.006393000	7.386141000	305.9		
T	51.006393000	7.386710000	306.1		
T	51.006394000	7.387337000	308.4		
T	51.006409000	7.387905000	310.3		
T	51.006497000	7.388409000	310.5		
T	51.006882000	7.389604000	311.8		
T	51.007189000	7.390513000	314.7		
T	51.007245000	7.390724000	315.1		
T	51.007347000	7.391030000	315.4		
T	51.007452000	7.391345000	316.5		
T	51.007741000	7.392112000	320.4		
T	51.007850000	7.392470000	321.9		
T	51.007905000	7.392785000	322.0		
T	51.007944000	7.393111000	323.0		
T	51.008203000	7.394365000	323.8		
T	51.008315000	7.394944000	323.1		
T	51.008546000	7.396205000	323.8		
T	51.008640000	7.396712000	324.9		
T	51.008659000	7.396882000	325.0		
T	51.008689000	7.401316000	317.1		
T	51.008690000	7.401330000	317.0		
T	51.008836000	7.401394000	317.6		
T	51.009561000	7.401544000	321.0		
T	51.009808000	7.401636000	322.1		
T	51.010420000	7.401977000	324.4		
T	51.010646000	7.402080000	324.5		
T	51.010796000	7.402097000	324.5		
T	51.011146000	7.402103000	323.9		
T	51.011433000	7.402134000	323.7		
T	51.011595000	7.402197000	323.2		
T	51.011692000	7.402248000	322.9		
T	51.011708000	7.402258000	322.9		
T	51.011798000	7.402313000	322.8		
T	51.011996000	7.402473000	322.0		
T	51.012447000	7.402892000	319.2		
T	51.012574000	7.402997000	318.5		
T	51.012830000	7.403185000	316.5		
T	51.013712000	7.403779000	311.6		
T	51.013820000	7.403850000	311.2		
T	51.014121000	7.404056000	309.3		
T	51.014270000	7.404140000	308.2		
T	51.014315000	7.404161000	307.9		
T	51.014633000	7.404313000	305.3		
T	51.014855000	7.404416000	303.5		
T	51.015235000	7.404585000	300.3		
T	51.015479000	7.404688000	298.6		
T	51.015902000	7.404704000	296.7		
T	51.016188000	7.404704000	295.9		
T	51.016699000	7.404682000	295.8		
T	51.017136000	7.404677000	295.1		
T	51.017134000	7.404662000	295.0		
T	51.017136000	7.404677000	295.1		
T	51.017137000	7.405168000	294.1		
T	51.017195000	7.405429000	293.4		
T	51.017275000	7.405630000	293.1		
T	51.017282000	7.405621000	293.1		
T	51.017769000	7.405083000	297.0		
T	51.017963000	7.404810000	298.8		
T	51.018103000	7.404542000	299.3		
T	51.018154000	7.404436000	299.7		
T	51.018170000	7.404405000	299.7		
T	51.018330000	7.404591000	301.0		
T	51.018475000	7.404831000	302.0		
T	51.018710000	7.405271000	303.4		
T	51.019007000	7.405671000	304.2		
T	51.019283000	7.405897000	305.1		
T	51.019474000	7.406023000	305.4		
T	51.019604000	7.406078000	305.6		
T	51.019954000	7.406132000	306.4		
T	51.020196000	7.406153000	307.4		
T	51.020819000	7.406246000	309.4		
T	51.021123000	7.406248000	310.0		
T	51.021224000	7.406224000	310.5		
T	51.021426000	7.406178000	310.9		
T	51.021770000	7.406000000	312.1		
T	51.021971000	7.405920000	312.2		
T	51.022114000	7.405923000	312.8		
T	51.022248000	7.405995000	313.0		
T	51.022352000	7.406109000	312.9		
T	51.022450000	7.406276000	312.2		
T	51.022489000	7.406395000	311.8		
T	51.022577000	7.406761000	310.8		
T	51.022624000	7.406983000	310.5		
T	51.022637000	7.407037000	310.3		
T	51.022679000	7.407197000	309.8		
T	51.022734000	7.407374000	309.3		
T	51.022920000	7.407867000	308.2		
T	51.023129000	7.408378000	306.1		
T	51.023325000	7.408824000	304.4		
T	51.023547000	7.409304000	304.0		
T	51.023577000	7.409361000	304.1		
T	51.023616000	7.409452000	304.0		
T	51.024275000	7.410825000	311.6		
T	51.024341000	7.411017000	312.8		
T	51.024363000	7.411112000	313.1		
T	51.024379000	7.411216000	313.8		
T	51.024386000	7.411324000	314.5		
T	51.024376000	7.411472000	315.4		
T	51.024375000	7.411504000	315.6		
T	51.024346000	7.411686000	316.7		
T	51.024303000	7.411826000	317.4		
T	51.024260000	7.411915000	317.8		
T	51.023935000	7.412479000	321.8		
T	51.023861000	7.412671000	323.2		
T	51.023824000	7.412804000	324.1		
T	51.023802000	7.412912000	324.6		
T	51.023718000	7.413418000	327.3		
T	51.023670000	7.413669000	328.0		
T	51.023581000	7.414054000	328.0		
T	51.023516090	7.414326401	327.8		
T	51.023408000	7.414780000	326.8		
T	51.023386569	7.414911969	326.3		
T	51.023351000	7.415131000	325.5		
T	51.023314000	7.415523000	325.1		
T	51.023308000	7.415716000	324.5		
T	51.023278000	7.416765000	322.0		
T	51.023262706	7.416952898	321.5		
T	51.023250000	7.417109000	320.8		
T	51.023160000	7.417591000	318.2		
T	51.023149000	7.417637000	318.0		
T	51.023148000	7.417643000	318.0		
T	51.023123000	7.417698000	317.7		
T	51.023161000	7.417701000	317.7		
T	51.023388583	7.417700637	318.0		
T	51.023788000	7.417700000	318.0		
T	51.023161000	7.417701000	317.7		
T	51.023123000	7.417698000	317.7		
T	51.023148000	7.417643000	318.0		
T	51.023160000	7.417591000	318.2		
T	51.023184000	7.417461000	318.8		
T	51.023250000	7.417109000	320.8		
T	51.023278000	7.416765000	322.0		
T	51.023314000	7.415523000	325.1		
T	51.023351000	7.415131000	325.5		
T	51.023408000	7.414780000	326.8		
T	51.023581000	7.414054000	328.0		
T	51.023670000	7.413669000	328.0		
T	51.023718000	7.413418000	327.3		
T	51.023743000	7.413263000	326.6		
T	51.023802000	7.412912000	324.6		
T	51.023824000	7.412804000	324.1		
T	51.023861000	7.412671000	323.2		
T	51.023935000	7.412479000	321.8		
T	51.024260000	7.411915000	317.8		
T	51.024303000	7.411826000	317.4		
T	51.024346000	7.411686000	316.7		
T	51.024375000	7.411504000	315.6		
T	51.024386000	7.411324000	314.5		
T	51.024379000	7.411216000	313.8		
T	51.024363000	7.411112000	313.1		
T	51.024341000	7.411017000	312.8		
T	51.024275000	7.410825000	311.6		
T	51.023726000	7.409682000	304.8		
T	51.023616000	7.409452000	304.0		
T	51.023577000	7.409361000	304.1		
T	51.023547000	7.409304000	304.0		
T	51.023325000	7.408824000	304.4		
T	51.023129000	7.408378000	306.1		
T	51.022920000	7.407867000	308.2		
T	51.022734000	7.407374000	309.3		
T	51.022679000	7.407197000	309.8		
T	51.022624000	7.406983000	310.5		
T	51.022577000	7.406761000	310.8		
T	51.022489000	7.406395000	311.8		
T	51.022450000	7.406276000	312.2		
T	51.022352000	7.406109000	312.9		
T	51.022248000	7.405995000	313.0		
T	51.022114000	7.405923000	312.8		
T	51.021971000	7.405920000	312.2		
T	51.021770000	7.406000000	312.1		
T	51.021426000	7.406178000	310.9		
T	51.021123000	7.406248000	310.0		
T	51.021037000	7.406247000	309.9		
T	51.020819000	7.406246000	309.4		
T	51.020196000	7.406153000	307.4		
T	51.019954000	7.406132000	306.4		
T	51.019604000	7.406078000	305.6		
T	51.019474000	7.406023000	305.4		
T	51.019283000	7.405897000	305.1		
T	51.019007000	7.405671000	304.2		
T	51.018710000	7.405271000	303.4		
T	51.018475000	7.404831000	302.0		
T	51.018330000	7.404591000	301.0		
T	51.018293000	7.404548000	300.7		
T	51.018170000	7.404405000	299.7		
T	51.018103000	7.404542000	299.3		
T	51.018084000	7.404522000	299.2		
