type	latitude	longitude	altitude (m)	name	desc
T	51.023784000	7.417700000	318.0	New file 1	
T	51.023161000	7.417701000	317.7		
T	51.023123000	7.417698000	317.7		
T	51.023148000	7.417643000	318.0		
T	51.023160000	7.417591000	318.2		
T	51.023184000	7.417461000	318.8		
T	51.023250000	7.417109000	320.8		
T	51.023278000	7.416765000	322.0		
T	51.023314000	7.415523000	325.1		
T	51.023351000	7.415131000	325.5		
T	51.023408000	7.414780000	326.8		
T	51.023581000	7.414054000	328.0		
T	51.023670000	7.413669000	328.0		
T	51.023718000	7.413418000	327.3		
T	51.023743000	7.413263000	326.6		
T	51.023802000	7.412912000	324.6		
T	51.023824000	7.412804000	324.1		
T	51.023861000	7.412671000	323.2		
T	51.023935000	7.412479000	321.8		
T	51.024260000	7.411915000	317.8		
T	51.024303000	7.411826000	317.4		
T	51.024346000	7.411686000	316.7		
T	51.024375000	7.411504000	315.6		
T	51.024386000	7.411324000	314.5		
T	51.024379000	7.411216000	313.8		
T	51.024363000	7.411112000	313.1		
T	51.024341000	7.411017000	312.8		
T	51.024275000	7.410825000	311.6		
T	51.023726000	7.409682000	304.8		
T	51.023616000	7.409452000	304.0		
T	51.023577000	7.409361000	304.1		
T	51.023547000	7.409304000	304.0		
T	51.023325000	7.408824000	304.4		
T	51.023129000	7.408378000	306.1		
T	51.022920000	7.407867000	308.2		
T	51.022734000	7.407374000	309.3		
T	51.022679000	7.407197000	309.8		
T	51.022624000	7.406983000	310.5		
T	51.022577000	7.406761000	310.8		
T	51.022489000	7.406395000	311.8		
T	51.022450000	7.406276000	312.2		
T	51.022352000	7.406109000	312.9		
T	51.022248000	7.405995000	313.0		
T	51.022114000	7.405923000	312.8		
T	51.021971000	7.405920000	312.2		
T	51.021770000	7.406000000	312.1		
T	51.021426000	7.406178000	310.9		
T	51.021123000	7.406248000	310.0		
T	51.021037000	7.406247000	309.9		
T	51.020819000	7.406246000	309.4		
T	51.020196000	7.406153000	307.4		
T	51.019954000	7.406132000	306.4		
T	51.019604000	7.406078000	305.6		
T	51.019474000	7.406023000	305.4		
T	51.019283000	7.405897000	305.1		
T	51.019007000	7.405671000	304.2		
T	51.018710000	7.405271000	303.4		
T	51.018475000	7.404831000	302.0		
T	51.018330000	7.404591000	301.0		
T	51.018293000	7.404548000	300.7		
T	51.018170000	7.404405000	299.7		
T	51.018103000	7.404542000	299.3		
T	51.018084000	7.404522000	299.2		
T	51.018061000	7.404496000	299.0		
T	51.017954000	7.404371000	297.6		
T	51.017816000	7.404251000	295.7		
T	51.017652000	7.404143000	294.4		
T	51.017652000	7.404141000	294.4		
T	51.017652000	7.404143000	294.4		
T	51.017513000	7.404623000	295.7		
T	51.017465000	7.404666000	295.7		
T	51.017393000	7.404667000	295.4		
T	51.017136000	7.404677000	295.1		
T	51.017134000	7.404664000	295.0		
T	51.017109000	7.404392000	293.8		
T	51.017063000	7.404249000	293.3		
T	51.017052000	7.404212000	293.2		
T	51.016987000	7.404075000	292.6		
T	51.016641000	7.403344000	290.0		
T	51.016255000	7.402902000	286.1		
T	51.016182000	7.402713000	285.0		
T	51.016096000	7.402327000	283.5		
T	51.015933000	7.401669000	281.3		
T	51.015750000	7.400951000	277.4		
T	51.015495000	7.400039000	272.9		
T	51.015278000	7.399161000	271.0		
T	51.015232000	7.398944000	270.7		
T	51.015056000	7.398061000	269.4		
T	51.015023000	7.397938000	268.9		
T	51.014911000	7.397605000	268.3		
T	51.014482000	7.396583000	266.4		
T	51.014227000	7.396090000	264.7		
T	51.014049000	7.395774000	263.9		
T	51.014005000	7.395695000	263.3		
T	51.013922000	7.395524000	261.9		
T	51.013586000	7.394847000	260.2		
T	51.013764000	7.394619000	258.1		
T	51.014182000	7.394085000	254.7		
T	51.014242000	7.394065000	254.4		
